,age,age_onset,birthplace,filename,native_language,sex,speakerid,country,file_missing?,path,,
32,27,9,"virginia, south africa",afrikaans1,afrikaans,female,1,south africa,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/afrikaans1.mp3,,
33,40,5,"pretoria, south africa",afrikaans2,afrikaans,male,2,south africa,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/afrikaans2.mp3,,
34,43,4,"pretoria, transvaal, south africa",afrikaans3,afrikaans,male,418,south africa,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/afrikaans3.mp3,,
35,26,8,"pretoria, south africa",afrikaans4,afrikaans,male,1159,south africa,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/afrikaans4.mp3,,
36,19,6,"cape town, south africa",afrikaans5,afrikaans,male,1432,south africa,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/afrikaans5.mp3,,
37,25,15,"diekabo, ivory coast",agni1,agni,male,3,ivory coast,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/agni1.mp3,,
38,41,5,"accra, ghana",akan1,akan,male,979,ghana,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/akan1.mp3,,
39,19,6,"prishtina, kosovo",albanian1,albanian,male,4,kosovo,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/albanian1.mp3,,
40,33,15,"tirana, albania",albanian2,albanian,male,5,albania,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/albanian2.mp3,,
41,44,35,"tirana, albania",albanian3,albanian,male,458,albania,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/albanian3.mp3,,
42,33,28,"mitrovice, kosovo",albanian4,albanian,male,868,kosovo,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/albanian4.mp3,,
43,31,11,"vlore, albania",albanian5,albanian,male,946,albania,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/albanian5.mp3,,
44,25,11,"prishtina, kosovo",albanian6,albanian,female,1081,kosovo,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/albanian6.mp3,,
45,45,11,"prishtina, kosovo",albanian7,albanian,female,1403,kosovo,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/albanian7.mp3,,
46,43,9,"prishtina, kosovo",albanian8,albanian,female,1404,kosovo,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/albanian8.mp3,,
47,22,6,"tirana, albania",albanian9,albanian,female,1706,albania,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/albanian9.mp3,,
48,37,32,"tata, morocco",amazigh1,amazigh,male,601,morocco,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/amazigh1.mp3,,
49,39,16,"ouarzazat, morocco",amazigh2,amazigh,male,1498,morocco,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/amazigh2.mp3,,
50,20,5,"addis ababa, ethiopia",amharic1,amharic,female,6,ethiopia,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/amharic1.mp3,,
51,29,19,"gonder, ethiopia",amharic10,amharic,female,998,ethiopia,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/amharic10.mp3,,
52,24,17,"addis ababa, ethiopia",amharic11,amharic,female,1129,ethiopia,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/amharic11.mp3,,
53,26,15,"addis ababa, ethiopia",amharic12,amharic,female,1130,ethiopia,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/amharic12.mp3,,
54,28,6,"addis ababa, ethiopia",amharic13,amharic,female,1131,ethiopia,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/amharic13.mp3,,
55,31,12,"addis ababa, ethiopia",amharic14,amharic,male,1515,ethiopia,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/amharic14.mp3,,
56,23,6,"addis ababa, ethiopia",amharic15,amharic,male,1516,ethiopia,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/amharic15.mp3,,
57,36,11,"werder, ethiopia",amharic16,amharic,male,1854,ethiopia,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/amharic16.mp3,,
58,21,9,"addis ababa, ethiopia",amharic17,amharic,male,1906,ethiopia,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/amharic17.mp3,,
59,20,2,"addis ababa, ethiopia",amharic18,amharic,female,2017,ethiopia,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/amharic18.mp3,,
60,19,10,"tefki, ethiopia",amharic19,amharic,female,2132,ethiopia,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/amharic19.mp3,,
61,23,7,"arba minch, ethiopia",amharic2,amharic,male,7,ethiopia,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/amharic2.mp3,,
62,52,24,"addis ababa, ethiopia",amharic20,amharic,female,2135,ethiopia,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/amharic20.mp3,,
63,27,8,"addis ababa, ethiopia",amharic3,amharic,male,8,ethiopia,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/amharic3.mp3,,
64,20,7,"addis ababa, ethiopia",amharic4,amharic,male,9,ethiopia,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/amharic4.mp3,,
65,31,7,"addis ababa, ethiopia",amharic5,amharic,male,10,ethiopia,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/amharic5.mp3,,
66,31,4,"addis ababa, ethiopia",amharic6,amharic,female,985,ethiopia,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/amharic6.mp3,,
67,38,13,"addis ababa, ethiopia",amharic7,amharic,male,989,ethiopia,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/amharic7.mp3,,
68,30,12,"addis ababa, ethiopia",amharic8,amharic,female,990,ethiopia,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/amharic8.mp3,,
69,40,12,"addis ababa, ethiopia",amharic9,amharic,male,991,ethiopia,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/amharic9.mp3,,
70,38,12,"riyadh, saudi arabia",arabic1,arabic,female,11,saudi arabia,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic1.mp3,,
71,26,5,"cairo, egypt",arabic10,arabic,male,12,egypt,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic10.mp3,,
72,40,10,"beirut, lebanon",arabic100,arabic,female,2159,lebanon,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic100.mp3,,
73,21,10,"doha, qatar",arabic101,arabic,male,2160,qatar,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic101.mp3,,
74,22,3,"jiddah, saudi arabia",arabic102,arabic,male,2161,saudi arabia,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic102.mp3,,
75,30,14,"monastir, tunisia",arabic11,arabic,female,13,tunisia,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic11.mp3,,
76,32,11,"baghdad, iraq",arabic12,arabic,male,14,iraq,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic12.mp3,,
77,25,15,"zabbougha, lebanon",arabic13,arabic,male,15,lebanon,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic13.mp3,,
78,47,11,"amman, jordan",arabic14,arabic,male,428,jordan,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic14.mp3,,
79,40,33,"qayrawan, tunisia",arabic15,arabic,male,437,tunisia,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic15.mp3,,
80,22,16,"meknes, morocco",arabic16,arabic,male,471,morocco,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic16.mp3,,
81,35,15,"settat, morocco",arabic17,arabic,male,512,morocco,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic17.mp3,,
82,18,6,"kuwait city, kuwait",arabic18,arabic,male,539,kuwait,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic18.mp3,,
83,43,18,"khouribga, morocco",arabic19,arabic,male,625,morocco,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic19.mp3,,
84,18,2.5,"damascus, syria",arabic2,arabic,male,16,syria,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic2.mp3,,
85,36,12,"chtaura, beqa valley, lebanon",arabic20,arabic,male,643,lebanon,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic20.mp3,,
86,46,30,"beirut, lebanon",arabic21,arabic,female,670,lebanon,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic21.mp3,,
87,23,10,"abu dhabi, united arab emirates",arabic22,arabic,female,920,united arab emirates,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic22.mp3,,
88,42,13,"al mahalla, egypt",arabic23,arabic,male,927,egypt,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic23.mp3,,
89,40,7,"cairo, egypt",arabic24,arabic,male,970,egypt,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic24.mp3,,
90,38,5,"ramun, israel (occupied territory)",arabic25,arabic,male,1011,israel (occupied territory),FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic25.mp3,,
91,43,14,"amman, jordan",arabic26,arabic,female,1012,jordan,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic26.mp3,,
92,70,10,"jerusalem, israel",arabic27,arabic,male,1013,israel,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic27.mp3,,
93,30,12,"al-ayn, united arab emirates",arabic28,arabic,male,1115,united arab emirates,FALSE,/content/drive/My Drive/Speech Detection Data/Speech Accent Archive/archive/recordings/recordings/arabic28.mp3,,
